!!!SBtab Document='eQuilibrator thermodynamic data' SBtabVersion='1.0' Date='2019-12-12',,,,,,,,
!!SBtab TableID='ReactionGFE' TableType='Quantity' TableName='Reaction table of transformed energies' SBtabVersion='1.0' Date='2019-12-12' Unit='kJ/mol' IonicStrengthUnit='M' TemperatureUnit='K',,,,,,,,
!QuantityType,!Identifiers:kegg.reaction,!Unit,!Mean,!Std,!pH,!IonicStrength,!Temperature,!Comment
standard Gibbs energy of formation,R00215,kJ/mol,22.3,10.3,7,0.1,298.15,
standard Gibbs energy of formation,R00216,kJ/mol,14,6.2,7,0.1,298.15,
standard Gibbs energy of formation,R00217,kJ/mol,-17.3,6.2,7,0.1,298.15,
standard Gibbs energy of formation,R00218,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00219,kJ/mol,23,8.5,7,0.1,298.15,
standard Gibbs energy of formation,R00220,kJ/mol,-28.7,1.8,7,0.1,298.15,
standard Gibbs energy of formation,R00221,kJ/mol,-27.8,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R00223,kJ/mol,-28.9,3.5,7,0.1,298.15,
standard Gibbs energy of formation,R00224,kJ/mol,-18.3,6.5,7,0.1,298.15,
standard Gibbs energy of formation,R00226,kJ/mol,32.3,7.4,7,0.1,298.15,
standard Gibbs energy of formation,R00227,kJ/mol,-30,1,7,0.1,298.15,
standard Gibbs energy of formation,R00228,kJ/mol,-17,2.4,7,0.1,298.15,
standard Gibbs energy of formation,R00229,kJ/mol,3.6,0.8,7,0.1,298.15,
standard Gibbs energy of formation,R00230,kJ/mol,9.8,1.2,7,0.1,298.15,
standard Gibbs energy of formation,R00233,kJ/mol,-17.8,6.3,7,0.1,298.15,
standard Gibbs energy of formation,R00234,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00235,kJ/mol,-4.5,0.8,7,0.1,298.15,
standard Gibbs energy of formation,R00236,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00237,kJ/mol,9.2,15.3,7,0.1,298.15,
standard Gibbs energy of formation,R00238,kJ/mol,26.1,1.7,7,0.1,298.15,
standard Gibbs energy of formation,R00239,kJ/mol,26.5,4.5,7,0.1,298.15,
standard Gibbs energy of formation,R00241,kJ/mol,24.4,4.5,7,0.1,298.15,
standard Gibbs energy of formation,R00243,kJ/mol,37.9,0.6,7,0.1,298.15,
standard Gibbs energy of formation,R00245,kJ/mol,-43.7,3.9,7,0.1,298.15,
standard Gibbs energy of formation,R00248,kJ/mol,38.9,0.7,7,0.1,298.15,
standard Gibbs energy of formation,R00250,kJ/mol,-95.5,8.3,7,0.1,298.15,
standard Gibbs energy of formation,R00251,kJ/mol,-6.9,6.2,7,0.1,298.15,
standard Gibbs energy of formation,R00253,kJ/mol,-15,1.6,7,0.1,298.15,
standard Gibbs energy of formation,R00254,kJ/mol,55,9.5,7,0.1,298.15,
standard Gibbs energy of formation,R00256,kJ/mol,-11.4,1.7,7,0.1,298.15,
standard Gibbs energy of formation,R00257,kJ/mol,-27.7,13.1,7,0.1,298.15,
standard Gibbs energy of formation,R00258,kJ/mol,-0.2,1.1,7,0.1,298.15,
standard Gibbs energy of formation,R00259,kJ/mol,-27.7,6.4,7,0.1,298.15,
standard Gibbs energy of formation,R00260,kJ/mol,0.6,4.3,7,0.1,298.15,
standard Gibbs energy of formation,R00261,kJ/mol,-25,6.9,7,0.1,298.15,
standard Gibbs energy of formation,R00262,kJ/mol,-7.4,4.7,7,0.1,298.15,
standard Gibbs energy of formation,R00263,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00264,kJ/mol,-35.3,4,7,0.1,298.15,
standard Gibbs energy of formation,R00265,kJ/mol,-26.2,7.7,7,0.1,298.15,
standard Gibbs energy of formation,R00267,kJ/mol,6.4,6.3,7,0.1,298.15,
standard Gibbs energy of formation,R00268,kJ/mol,-15.5,7.7,7,0.1,298.15,
standard Gibbs energy of formation,R00269,kJ/mol,0.3,4.7,7,0.1,298.15,
standard Gibbs energy of formation,R00270,kJ/mol,41.4,6.4,7,0.1,298.15,
standard Gibbs energy of formation,R00271,kJ/mol,-28.5,5.4,7,0.1,298.15,
standard Gibbs energy of formation,R00272,kJ/mol,-18.9,6.7,7,0.1,298.15,
standard Gibbs energy of formation,R00273,kJ/mol,-165,15.4,7,0.1,298.15,
standard Gibbs energy of formation,R00274,kJ/mol,-310.1,6.6,7,0.1,298.15,
standard Gibbs energy of formation,R00275,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00276,kJ/mol,177.8,11.7,7,0.1,298.15,
standard Gibbs energy of formation,R00277,kJ/mol,-96.8,9,7,0.1,298.15,
standard Gibbs energy of formation,R00278,kJ/mol,-110.9,8.4,7,0.1,298.15,
standard Gibbs energy of formation,R00279,kJ/mol,-96.1,9.3,7,0.1,298.15,
standard Gibbs energy of formation,R00280,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00281,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00282,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00283,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00284,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00286,kJ/mol,-12.9,4.3,7,0.1,298.15,
standard Gibbs energy of formation,R00287,kJ/mol,-29.6,7.5,7,0.1,298.15,
standard Gibbs energy of formation,R00289,kJ/mol,0,1.1,7,0.1,298.15,
standard Gibbs energy of formation,R00291,kJ/mol,2.9,1.6,7,0.1,298.15,
standard Gibbs energy of formation,R00293,kJ/mol,-56.1,10.7,7,0.1,298.15,
standard Gibbs energy of formation,R00294,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00295,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00296,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00297,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00298,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00299,kJ/mol,-17.3,0.9,7,0.1,298.15,
standard Gibbs energy of formation,R00300,kJ/mol,-3.4,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R00301,kJ/mol,-4.5,4.1,7,0.1,298.15,
